anal_num,bd_number,a_cont_by,a_makedown,a_nv_scor,a_vul_scor,b_cont_by,b_makedown,b_nv_scor,b_vul_scor,nv_imps,vul_imps,nv_netscor,v_netscor,north,east,south,west,n_hcp,e_hcp,s_hcp,w_hcp
1,20,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:J6 H:Q872 D:842 C:QT92,S:A5 H:T953 D:AK976 C:K6,S:Q42 H:AK64 D:QT C:AJ53,S:KT9873 H:J D:J53 C:874,5,14,16,5
1,21,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:AQT2 H:A765 D:T4 C:K43,S:96 H:KJT4 D:Q932 C:QT5,S:K54 H:Q983 D:K65 C:J98,S:J873 H:2 D:AJ87 C:A762,13,8,9,10
1,22,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:AK4 H:AT7 D:A962 C:A95,S:J973 H:KQ D:K43 C:JT63,S:QT62 H:8432 D:T87 C:Q8,S:85 H:J965 D:QJ5 C:K742,19,10,4,7
1,23,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:KT75 H:J7 D:A98 C:KT98,S:A642 H:9 D:QT74 C:A754,S:983 H:AQT3 D:652 C:QJ6,S:QJ H:K86542 D:KJ3 C:32,11,10,9,10
1,24,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:AT9 H:J965 D:T7 C:KQ84,S:K73 H:AQ842 D:J5 C:JT6,S:654 H:K7 D:K932 C:A532,S:QJ82 H:T3 D:AQ864 C:97,10,11,10,9
1,25,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:AKQ5 H:AJ6 D:T983 C:43,S:32 H:KQ82 D:4 C:KJT986,S:J987 H:943 D:J75 C:AQ2,S:T64 H:T75 D:AKQ62 C:75,14,9,8,9
1,26,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:KT7 H:T543 D:KQ52 C:Q8,S:5 H:AJ72 D:AT8 C:T9654,S:QJ86 H:Q986 D:J4 C:AK2,S:A9432 H:K D:9763 C:J73,10,9,13,8
1,27,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:83 H:A632 D:KJ5 C:K952,S:QT97642 H:K D:Q32 C:74,S:A5 H:T87 D:AT64 C:QT86,S:KJ H:QJ954 D:987 C:AJ3,11,7,10,12
1,28,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:63 H:A875 D:T974 C:KT6,S:JT84 H:Q92 D:K632 C:93,S:AQ92 H:63 D:AQ5 C:AQ42,S:K75 H:KJT4 D:J8 C:J875,7,6,18,9
1,29,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:975 H:J875 D:Q53 C:KT9,S:J8432 H:KT D:AK84 C:Q7,S:KQ H:AQ43 D:T72 C:A852,S:AT6 H:962 D:J96 C:J643,6,13,15,6
1,30,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:Q32 H:6543 D:QT98 C:T6,S:KJ87 H:J2 D:K43 C:AJ32,S:A4 H:AK8 D:A752 C:KQ97,S:T965 H:QT97 D:J6 C:854,4,13,20,3
1,31,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:KQ75 H:K8 D:QJ6 C:A742,S:AJ86 H:A972 D:3 C:Q653,S:T32 H:T64 D:AKT2 C:JT8,S:94 H:QJ53 D:98754 C:K9,15,11,8,6
1,32,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:76 H:A97 D:J862 C:AJ95,S:AQT982 H:T43 D:5 C:762,S:K5 H:KJ86 D:KQT9 C:KT4,S:J43 H:Q52 D:A743 C:Q83,10,6,15,9
1,33,3N -N,  4,430,630,2N -N,  4,180,180,6,10,250,450,S:KQ83 H:764 D:T8 C:AKT8,S:J H:QJ3 D:AJ9653 C:762,S:A76 H:AK85 D:Q742 C:J3,S:T9542 H:T92 D:K C:Q954,12,9,14,5
1,34,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:AQ3 H:65 D:KQ72 C:AK62,S:J86 H:AK3 D:T63 C:Q543,S:K94 H:T97 D:854 C:JT97,S:T752 H:QJ842 D:AJ9 C:8,18,10,4,8
1,35,3N -N, -5,-250,-500,2N -N, -4,-200,-400,-2,-3,-50,-100,S:874 H:Q93 D:862 C:8432,S:Q6 H:JT542 D:JT3 C:KJ6,S:K9 H:AK87 D:AK54 C:Q75,S:AJT532 H:6 D:Q97 C:AT9,2,8,19,11
1,36,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:A94 H:K842 D:QT32 C:Q2,S:Q875 H:75 D:AK985 C:A8,S:KJ6 H:QJ96 D:64 C:K653,S:T32 H:AT3 D:J7 C:JT974,11,13,10,6
1,37,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:QJ7 H:872 D:AKT6 C:QJ2,S:93 H:KQT63 D:J7 C:T987,S:AT85 H:J94 D:8532 C:K4,S:K642 H:A5 D:Q94 C:A653,13,6,8,13
1,38,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:73 H:9874 D:J632 C:AK8,S:JT65 H:AJ3 D:T74 C:432,S:A94 H:QT65 D:KQ5 C:QJ6,S:KQ82 H:K2 D:A98 C:T975,8,6,14,12
1,39,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:K86 H:QJ2 D:KJT4 C:Q98,S:J92 H:T854 D:987 C:J52,S:T73 H:A63 D:AQ53 C:AT7,S:AQ54 H:K97 D:62 C:K643,12,2,14,12
1,40,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:K743 H:KT5 D:KT3 C:J63,S:AT2 H:J94 D:AJ92 C:Q87,S:QJ5 H:AQ76 D:765 C:A94,S:986 H:832 D:Q84 C:KT52,10,12,13,5
1,41,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:K85 H:AK76 D:AJ C:QT73,S:Q6 H:QJT42 D:QT8 C:985,S:T73 H:985 D:K943 C:K62,S:AJ942 H:3 D:7652 C:AJ4,17,7,6,10
1,42,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:Q8 H:AJ8 D:9864 C:KJ82,S:T932 H:K765 D:Q C:Q976,S:A65 H:T2 D:AKT2 C:A543,S:KJ74 H:Q943 D:J753 C:T,11,7,15,7
1,43,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:AJ85 H:AK42 D:AQ4 C:A7,S:K64 H:J53 D:J2 C:Q8543,S:Q972 H:987 D:T875 C:T9,S:T3 H:QT6 D:K963 C:KJ62,22,7,2,9
1,44,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:A4 H:KQ94 D:QJ83 C:JT9,S:985 H:AJ7 D:A542 C:752,S:K72 H:8532 D:KT7 C:A43,S:QJT63 H:T6 D:96 C:KQ86,13,9,10,8
1,45,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:KQJ6 H:QT4 D:K93 C:973,S:83 H:952 D:T842 C:AK86,S:A92 H:AK87 D:AJ6 C:J42,S:T754 H:J63 D:Q75 C:QT5,11,7,17,5
1,46,3N -N,  4,430,630,2N -N,  4,180,180,6,10,250,450,S:986 H:QT2 D:Q95 C:A732,S:Q754 H:J54 D:6 C:KJ654,S:AJT H:AK76 D:AJ43 C:98,S:K32 H:983 D:KT872 C:QT,8,7,17,8
1,47,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:A96 H:K972 D:54 C:QT82,S:KJT542 H:T543 D:6 C:AJ,S:Q873 H:AQ8 D:K983 C:73,S: H:J6 D:AQJT72 C:K9654,9,9,11,11
1,48,3N -N,  6,490,690,2N -N,  6,240,240,6,10,250,450,S:Q962 H:KT8 D:QT7 C:AK9,S:K754 H:A32 D:K83 C:642,S:AJT3 H:J9 D:AJ62 C:QT3,S:8 H:Q7654 D:954 C:J875,14,10,13,3
1,49,3N -N,  4,430,630,2N -N,  4,180,180,6,10,250,450,S:T85 H:AJ92 D:K2 C:KJ72,S:96 H:543 D:AJ63 C:A843,S:AQJ2 H:QT7 D:QT9 C:Q65,S:K743 H:K86 D:8754 C:T9,12,9,13,6
1,50,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:Q653 H:A32 D:AJ4 C:764,S:KJT H:Q8654 D:K752 C:9,S:A982 H:KJ D:T986 C:K52,S:74 H:T97 D:Q3 C:AQJT83,11,9,11,9
1,51,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:AJ73 H:Q43 D:A92 C:432,S:K98654 H:J95 D:7 C:QT9,S:Q2 H:AT76 D:QJ6 C:KJ76,S:T H:K82 D:KT8543 C:A85,11,6,13,10
1,52,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:K52 H:KJT8 D:A864 C:A5,S:Q986 H:4 D:QT72 C:Q764,S:T73 H:AQ73 D:K53 C:832,S:AJ4 H:9652 D:J9 C:KJT9,15,6,9,10
1,53,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:K8 H:Q973 D:QJ7 C:AT53,S:JT73 H:J64 D:T965 C:K6,S:A642 H:AK52 D:82 C:Q72,S:Q95 H:T8 D:AK43 C:J984,12,5,13,10
1,54,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:T964 H:974 D:KQJT C:72,S:AQ72 H:J52 D:A75 C:QJ8,S:KJ8 H:AK6 D:9842 C:A65,S:53 H:QT83 D:63 C:KT943,6,14,15,5
1,55,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:KQ53 H:42 D:KJ96 C:A94,S:J92 H:KQ5 D:T2 C:KQ765,S:AT8 H:AJ83 D:43 C:J832,S:764 H:T976 D:AQ875 C:T,13,11,10,6
1,56,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:K4 H:Q872 D:Q652 C:AJ4,S:Q973 H:T4 D:K987 C:T96,S:AJ85 H:A96 D:T4 C:KQ73,S:T62 H:KJ53 D:AJ3 C:852,12,5,14,9
1,57,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:AK76 H:A87 D:KQ C:KQJ6,S:Q53 H:QJ2 D:AJ84 C:A87,S:T98 H:K965 D:762 C:952,S:J42 H:T43 D:T953 C:T43,22,14,3,1
1,58,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:T963 H:J73 D:T8 C:A873,S:84 H:AK962 D:AJ5 C:T42,S:AK52 H:QT D:KQ72 C:J96,S:QJ7 H:854 D:9643 C:KQ5,5,12,15,8
1,59,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:A95 H:A9 D:T764 C:JT93,S:J876 H:T7 D:QJ983 C:A7,S:QT2 H:K542 D:AK2 C:K62,S:K43 H:QJ863 D:5 C:Q854,9,8,15,8
1,60,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:Q98 H:QJ95 D:962 C:J62,S:J632 H:A42 D:T5 C:9753,S:AKT7 H:876 D:AKQ C:KQ8,S:54 H:KT3 D:J8743 C:AT4,6,5,21,8
1,61,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:AJ83 H:A65 D:Q8 C:A982,S:Q42 H:KQ32 D:AT6 C:765,S:KT76 H:J987 D:J5 C:KJ3,S:95 H:T4 D:K97432 C:QT4,15,11,9,5
1,62,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:AT32 H:J32 D:8432 C:K6,S:Q87 H:AK7 D:QJ5 C:8742,S:96 H:T94 D:AKT6 C:AQJT,S:KJ54 H:Q865 D:97 C:953,8,12,14,6
1,63,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:93 H:AT52 D:AQ62 C:JT9,S:KT8 H:K984 D:T953 C:53,S:AQ72 H:Q73 D:K874 C:64,S:J654 H:J6 D:J C:AKQ872,11,6,11,12
1,64,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:752 H:AK7 D:K865 C:A82,S:AJ96 H:52 D:97432 C:T5,S:Q843 H:QT4 D:AQJ C:Q96,S:KT H:J9863 D:T C:KJ743,14,5,13,8
1,65,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:543 H:Q42 D:AJ86 C:QJ3,S:AK9 H:JT98 D:72 C:KT74,S:JT62 H:AK7 D:Q95 C:965,S:Q87 H:653 D:KT43 C:A82,10,11,10,9
1,66,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:984 H:Q76 D:Q763 C:K75,S:72 H:K853 D:KT5 C:JT82,S:KJT6 H:AJ94 D:J2 C:A96,S:AQ53 H:T2 D:A984 C:Q43,7,7,14,12
1,67,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:AQ H:T975 D:K95 C:Q843,S:T965 H:KQ64 D:AQT8 C:6,S:K74 H:AJ32 D:J6 C:AKT5,S:J832 H:8 D:7432 C:J972,11,11,16,2
1,68,3N -N, -4,-200,-400,2N -N, -3,-150,-300,-2,-3,-50,-100,S:J964 H:KQ5 D:AK8 C:863,S:83 H:AT D:J97432 C:AJ7,S:KT75 H:632 D:Q5 C:QT54,S:AQ2 H:J9874 D:T6 C:K92,13,10,7,10
1,69,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:A82 H:K754 D:J7 C:AK32,S:T964 H:J D:T9843 C:J65,S:KQJ H:T963 D:A62 C:Q97,S:753 H:AQ82 D:KQ5 C:T84,15,2,12,11
1,70,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:953 H:853 D:KT5 C:6432,S:T82 H:QJT764 D:986 C:8,S:KQ4 H:K92 D:A42 C:KQ95,S:AJ76 H:A D:QJ73 C:AJT7,3,3,17,17
1,71,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:AK65 H:T8 D:8642 C:A86,S:874 H:K9643 D:K3 C:J54,S:J93 H:AQJ5 D:A7 C:K932,S:QT2 H:72 D:QJT95 C:QT7,11,7,15,7
1,72,3N -N, -5,-250,-500,2N -N, -4,-200,-400,-2,-3,-50,-100,S:74 H:876 D:T952 C:AKQ3,S:6532 H:K53 D:A84 C:875,S:QJ9 H:Q94 D:KQJ7 C:T64,S:AKT8 H:AJT2 D:63 C:J92,9,7,11,13
1,73,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:AK3 H:Q94 D:AJ97 C:A82,S:82 H:T8 D:KQ653 C:T974,S:JT94 H:KJ7 D:T842 C:53,S:Q765 H:A6532 D: C:KQJ6,18,5,5,12
1,74,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:AQ9 H:AJ73 D:Q32 C:J65,S:T652 H:5 D:AJT4 C:K972,S:KJ3 H:QT2 D:875 C:AQ43,S:874 H:K9864 D:K96 C:T8,14,8,12,6
1,75,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:Q643 H:Q7 D:QJ73 C:QT7,S:9872 H:9653 D:65 C:A85,S:AT H:KT8 D:KT42 C:J963,S:KJ5 H:AJ42 D:A98 C:K42,9,4,11,16
1,76,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:62 H:A876 D:K82 C:QJ63,S:Q5 H:KQ9 D:QJT97 C:T95,S:AT97 H:J43 D:A4 C:AK42,S:KJ843 H:T52 D:653 C:87,10,10,16,4
1,77,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:873 H:K42 D:J542 C:A93,S:42 H:QJ975 D:Q9 C:T754,S:AJT H:A83 D:K873 C:Q86,S:KQ965 H:T6 D:AT6 C:KJ2,8,5,14,13
1,78,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:AJ6 H:53 D:AT72 C:AT54,S:KQ852 H:QJT7 D:Q63 C:J,S:974 H:K2 D:J854 C:KQ86,S:T3 H:A9864 D:K9 C:9732,13,11,9,7
1,79,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:A854 H:AQ4 D:A654 C:AJ,S:QJ2 H:983 D:Q C:QT8743,S:976 H:62 D:KJ93 C:K962,S:KT3 H:KJT75 D:T872 C:5,19,7,7,7
1,80,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:JT5 H:J75 D:AK5 C:QJ42,S:Q843 H:A83 D:J7 C:AK96,S:AK7 H:92 D:Q942 C:T875,S:962 H:KQT64 D:T863 C:3,12,14,9,5
1,81,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:KT8 H:AJ64 D:KQ98 C:K5,S:J63 H:KQ952 D:T53 C:82,S:754 H:T873 D:A2 C:JT43,S:AQ92 H: D:J764 C:AQ976,16,6,5,13
1,82,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:K87 H:A86 D:Q32 C:8762,S:5 H:752 D:AT764 C:Q953,S:AJT9 H:KJ43 D:K5 C:KT4,S:Q6432 H:QT9 D:J98 C:AJ,9,6,15,10
1,83,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:32 H:854 D:JT52 C:KQT6,S:QT9 H:J7 D:AK93 C:8753,S:AKJ4 H:AQ6 D:Q87 C:942,S:8765 H:KT932 D:64 C:AJ,6,10,16,8
1,84,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:T4 H:AQT5 D:QT4 C:Q864,S:AKQ762 H: D:AJ9652 C:9,S:J93 H:K864 D:K83 C:A73,S:85 H:J9732 D:7 C:KJT52,10,14,11,5
1,85,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:Q87 H:QT96 D:KJ9 C:KQ2,S:T954 H:K8432 D:A3 C:J5,S:AJ62 H:75 D:QT42 C:764,S:K3 H:AJ D:8765 C:AT983,13,8,7,12
1,86,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:A43 H:962 D:K94 C:AT98,S:9876 H:AK54 D:Q632 C:2,S:JT2 H:QJ7 D:T85 C:KQ74,S:KQ5 H:T83 D:AJ7 C:J653,11,9,9,11
1,87,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:AT85 H:AJ75 D:KJ8 C:Q5,S:743 H:Q942 D:74 C:JT94,S:QJ92 H:K6 D:AQ3 C:8632,S:K6 H:T83 D:T9652 C:AK7,15,3,12,10
1,88,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:Q42 H:AJ5 D:Q83 C:7543,S:K853 H:KT73 D:T7 C:QT6,S:AJ6 H:Q862 D:92 C:AKJ2,S:T97 H:94 D:AKJ654 C:98,9,8,15,8
1,89,3N -N,  5,460,660,2N -N,  5,210,210,6,10,250,450,S:A64 H:Q42 D:AJT3 C:Q42,S:JT9 H:JT6 D:Q98 C:T865,S:Q75 H:AK97 D:K54 C:KJ7,S:K832 H:853 D:762 C:A93,13,4,16,7
1,90,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:KJ63 H:Q95 D:J3 C:AT76,S:A9 H:J2 D:A8652 C:QJ52,S:T75 H:AK4 D:QT74 C:K84,S:Q842 H:T8763 D:K9 C:93,11,12,12,5
1,91,3N -N,  6,490,690,2N -N,  6,240,240,6,10,250,450,S:AT3 H:T43 D:AKT5 C:T64,S:954 H:AJ92 D:8432 C:Q7,S:KJ2 H:KQ87 D:Q97 C:AK8,S:Q876 H:65 D:J6 C:J9532,11,7,18,4
1,92,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:A63 H:98 D:K852 C:K854,S:T2 H:J632 D:93 C:AQJT7,S:KQJ5 H:KQT D:QJT C:963,S:9874 H:A754 D:A764 C:2,10,8,14,8
1,93,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:A973 H:Q65 D:43 C:J964,S:J52 H:K943 D:AQ9 C:KT8,S:QT8 H:AJ82 D:JT85 C:AQ,S:K64 H:T7 D:K762 C:7532,7,13,14,6
1,94,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:T54 H:KQ5 D:872 C:A654,S:AK97 H:J9876 D:543 C:2,S:J832 H:43 D:AQT C:KJT7,S:Q6 H:AT2 D:KJ96 C:Q983,9,8,11,12
1,95,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:KJ9 H:AK65 D:963 C:KQ5,S:AQ87 H:72 D:AQ752 C:72,S:T652 H:Q84 D:K84 C:AT8,S:43 H:JT93 D:JT C:J9643,16,12,9,3
1,96,3N -N,  4,430,630,2N -N,  4,180,180,6,10,250,450,S:Q843 H:K86 D:83 C:KJ53,S:K5 H:Q743 D:Q72 C:Q874,S:AJT2 H:AT2 D:KJ64 C:AT,S:976 H:J95 D:AT95 C:962,9,9,17,5
1,97,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:K754 H:83 D:A72 C:KT86,S:AT932 H:Q954 D:K9 C:74,S:QJ8 H:AK D:QJ64 C:J953,S:6 H:JT762 D:T853 C:AQ2,10,9,14,7
1,98,3N -N,  4,430,630,2N -N,  4,180,180,6,10,250,450,S:KJ7 H:A965 D:872 C:A94,S:5 H:KJT8 D:KJ654 C:K63,S:AT98 H:Q32 D:AQ3 C:Q52,S:Q6432 H:74 D:T9 C:JT87,12,11,14,3
1,99,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:Q9 H:T52 D:KQ32 C:AKT3,S:73 H:Q3 D:AJ75 C:97542,S:AT86 H:K876 D:984 C:Q6,S:KJ542 H:AJ94 D:T6 C:J8,14,7,9,10
